Player,UID,Aerial,Awareness,Clearing,Closing,Control,Creativity,Crossing,Decision,Defensive,Dribbling,Focus,Endeavour,Intelligence,Marking,Mobility,Movement,Off The Ball,Passing,Physical,Tackling
Ayrton Tallura,2000274550,8.0,15.0,9.0,10.0,18.0,14.666666666666666,14.25,13.5,10.0,18.0,10.5,14.75,15.0,9.0,13.75,13.666666666666666,13.5,16.666666666666668,11.5,10.0
Renato Pereira,2000190646,13.0,13.0,9.0,13.5,13.0,13.333333333333334,12.0,13.5,13.5,11.5,12.5,14.0,13.0,12.666666666666666,14.75,13.666666666666666,11.5,14.0,15.5,12.0
José Gragera,67263880,15.0,13.666666666666666,15.0,13.0,14.5,12.0,12.75,13.0,13.0,12.5,13.5,13.75,12.6,12.666666666666666,11.25,13.333333333333334,11.0,14.0,11.0,12.5
Álex Remiro,67183918,16.0,11.333333333333334,2.0,13.5,13.0,10.666666666666666,11.25,13.0,13.5,8.0,13.0,10.75,10.6,10.0,11.75,13.0,7.5,14.0,11.5,7.0
Gabriel Martinelli,19351309,13.0,15.0,13.0,10.5,14.5,15.333333333333334,12.75,13.5,10.5,15.0,13.0,14.25,14.8,9.0,15.25,14.666666666666666,14.0,13.666666666666666,12.0,8.5
Piotr Jabłoński,2000623979,3.0,12.666666666666666,8.0,12.0,12.0,10.666666666666666,11.5,15.0,12.0,12.0,12.5,12.75,11.4,12.333333333333334,15.0,14.333333333333334,11.0,12.0,11.0,11.5
Pablo,2000572050,10.0,12.0,10.0,10.0,14.5,13.0,12.25,11.5,10.0,15.0,11.5,8.75,12.4,9.666666666666666,16.25,12.0,14.0,13.0,14.5,10.5
Vicente,2000571659,12.0,9.666666666666666,5.0,9.0,14.5,11.333333333333334,10.75,11.5,9.0,11.0,9.0,11.25,11.0,7.666666666666667,15.5,10.333333333333334,12.0,12.0,12.0,8.5
Matthias Hasa,2000568032,11.0,12.0,9.0,8.5,15.5,12.666666666666666,13.5,12.0,8.5,16.5,10.5,11.25,12.4,7.333333333333333,14.75,12.0,10.5,15.0,13.0,9.0
Manuel Bosch,2000514796,12.0,9.666666666666666,7.0,10.5,14.5,12.666666666666666,11.75,10.5,10.5,13.0,11.5,9.5,11.4,11.333333333333334,14.25,10.333333333333334,13.5,14.0,12.0,10.5
Harald Klingmann,2000504134,16.0,11.0,10.0,12.0,12.0,9.333333333333334,10.5,11.0,12.0,11.5,12.5,13.25,9.6,12.0,13.25,11.666666666666666,9.5,12.0,12.5,13.0
Aritz García,2000439255,15.0,10.666666666666666,11.0,11.5,8.0,11.0,8.25,12.5,11.5,7.0,12.5,13.5,10.4,12.0,13.0,12.666666666666666,8.5,9.666666666666666,15.0,13.5
John Damiano,2000435431,6.0,13.666666666666666,7.0,14.0,12.0,11.666666666666666,11.5,16.5,14.0,10.0,14.5,14.5,12.4,13.666666666666666,13.25,15.666666666666666,9.5,12.666666666666666,12.0,12.0
Kai Ocaña,2000194470,13.0,11.0,8.0,11.5,14.5,9.0,13.25,12.0,11.5,14.5,11.5,16.25,10.2,10.333333333333334,16.5,11.0,12.0,13.333333333333334,13.5,9.0
Denis Zakaria,98034601,15.0,13.0,11.0,12.0,13.0,12.666666666666666,11.25,12.5,12.0,12.0,13.0,15.75,12.6,12.0,14.0,13.0,13.0,12.333333333333334,14.0,14.0
Robin Le Normand,48037162,16.0,12.333333333333334,14.0,13.0,13.0,12.333333333333334,11.5,13.5,13.0,11.0,13.5,14.25,11.8,13.666666666666666,13.0,14.0,9.5,13.333333333333334,14.0,13.5
Brandon Williams,28115834,12.0,10.666666666666666,9.0,12.0,12.5,12.333333333333334,12.5,12.5,12.0,13.0,12.5,16.0,11.2,12.0,14.75,12.666666666666666,13.0,12.666666666666666,13.0,12.5
Francesco Zamuner,2000626880,11.0,11.333333333333334,8.0,11.0,14.5,10.666666666666666,12.25,11.5,11.0,12.5,11.0,14.25,10.6,10.666666666666666,12.5,12.0,10.5,13.333333333333334,12.0,11.0
Felipe,2000510074,13.0,11.333333333333334,11.0,10.0,10.5,12.0,11.25,12.0,10.0,13.0,11.5,13.0,11.6,9.333333333333334,14.5,12.0,13.0,11.0,15.0,9.0
Lukas Mohr,2000432897,15.0,12.0,11.0,12.5,11.5,13.0,10.5,14.5,12.5,12.5,13.0,10.0,12.2,12.666666666666666,14.25,14.333333333333334,10.0,11.666666666666666,13.0,13.0
Kim Christian Høyenhall,2000182998,16.0,10.0,1.0,13.5,11.0,9.333333333333334,9.75,9.5,13.5,7.5,13.0,8.75,8.8,9.666666666666666,12.25,11.0,6.5,12.0,12.0,6.5
Koldo Valencia,2000663358,6.0,9.333333333333334,7.0,9.0,14.0,11.333333333333334,11.5,10.5,9.0,12.5,9.5,14.25,10.6,7.666666666666667,13.5,10.0,10.0,12.0,8.0,10.0
Souza,2000607666,17.0,15.333333333333334,13.0,11.5,11.5,13.666666666666666,10.75,15.0,11.5,10.5,12.5,14.5,14.2,12.333333333333334,15.0,15.333333333333334,10.5,11.0,15.5,14.0
Agustín Kranevitter,2000612966,17.0,10.666666666666666,1.0,11.5,8.0,9.666666666666666,7.5,11.5,11.5,5.0,10.5,11.5,9.8,8.0,11.0,11.666666666666666,6.0,9.333333333333334,13.0,6.0
Antonio Navarro,2000571902,9.0,11.333333333333334,4.0,10.5,10.5,11.0,9.0,14.5,10.5,10.0,11.0,14.0,11.4,9.666666666666666,14.5,13.0,8.5,9.666666666666666,11.0,9.0
Stefán Þór Jónsson,2000531873,16.0,10.666666666666666,8.0,9.0,8.5,9.666666666666666,8.0,12.0,9.0,8.0,10.0,13.5,9.6,10.0,11.0,12.333333333333334,8.0,9.0,11.5,12.5
Ronald Woudenberg,2000633117,13.0,9.333333333333334,1.0,10.0,5.0,9.0,6.25,10.5,10.0,4.5,9.0,10.75,9.2,7.666666666666667,11.0,10.0,5.0,7.333333333333333,9.5,5.0
