Player,UID,Aerial,Awareness,Clearing,Closing,Control,Creativity,Crossing,Decision,Defensive,Dribbling,Focus,Endeavour,Intelligence,Marking,Mobility,Movement,Off The Ball,Passing,Physical,Tackling,Team
Joan Planchart,2000509911.0,8.0,15.666666666666666,10.0,14.0,13.5,14.333333333333334,11.5,16.0,14.0,10.75,13.0,17.875,14.8,14.666666666666666,16.875,16.0,12.25,13.333333333333334,17.25,13.0,barc
Asier Grande,2000048078.0,7.0,13.0,10.0,12.5,11.75,13.666666666666666,11.625,13.75,12.5,12.25,13.0,12.75,13.2,11.666666666666666,15.25,13.833333333333334,10.0,12.5,12.0,13.0,bilbao
Unai Núñez,67214595.0,14.0,12.333333333333334,13.0,13.5,11.0,11.666666666666666,10.0,15.0,13.5,8.25,13.5,14.125,11.8,14.333333333333334,12.5,14.333333333333334,9.75,11.666666666666666,12.75,14.0,bilbao
Yeray,67192475.0,12.0,12.333333333333334,14.0,14.5,12.0,12.333333333333334,12.75,13.5,14.5,9.25,15.0,14.875,11.8,14.666666666666666,11.75,14.0,9.75,13.333333333333334,10.75,14.0,bilbao
Julen Letamendia,2000570277.0,8.0,14.0,10.0,13.0,12.0,15.333333333333334,11.625,14.0,13.0,12.0,14.0,14.75,14.0,13.0,15.0,15.333333333333334,11.0,12.0,14.0,14.5,bilbao
Cameron Wells,2000431769.0,7.0,12.333333333333334,7.0,13.0,15.5,11.166666666666666,12.125,14.0,13.0,12.5,11.75,12.5,11.5,12.666666666666666,15.25,13.666666666666666,10.5,13.0,12.0,12.5,cadiz
Cacá,19350725.0,12.0,14.166666666666666,14.0,13.25,12.0,12.0,10.75,13.25,13.25,10.5,13.25,13.25,12.6,13.166666666666666,11.75,14.0,11.5,11.833333333333334,11.25,14.25,cadiz
Nico Mickelson,53138009.0,11.0,12.666666666666666,6.0,9.0,14.25,11.5,11.375,12.5,9.0,13.75,10.5,8.875,12.1,9.0,14.25,12.333333333333334,10.0,11.166666666666666,9.5,8.5,cadiz
Carlos Fernando,2000194985.0,10.0,13.666666666666666,10.0,11.75,11.75,12.5,10.375,15.75,11.75,11.5,13.0,11.375,13.1,12.166666666666666,13.25,14.833333333333334,8.75,10.833333333333334,11.5,9.25,coruna
Karim Pérez,2000193717.0,16.0,10.333333333333334,14.0,9.5,9.75,11.333333333333334,7.375,14.5,9.5,8.75,9.25,13.5,10.6,10.333333333333334,13.25,13.666666666666666,6.0,8.666666666666666,15.5,10.5,coruna
Luis Muñoz,90065199.0,12.0,10.166666666666666,11.0,10.5,10.25,12.333333333333334,7.875,13.5,10.5,8.5,12.5,12.0,10.8,11.0,10.875,13.5,7.25,9.333333333333334,9.5,11.0,coruna
Enock Kwateng,85134692.0,11.0,10.833333333333334,10.0,11.75,10.25,12.333333333333334,11.625,12.0,11.75,10.25,12.5,13.375,11.6,11.833333333333334,12.0,11.833333333333334,10.5,11.166666666666666,11.0,11.75,coruna
Xabier Santamaría,2000202642.0,9.5,10.666666666666666,6.0,11.0,14.25,13.0,12.875,11.5,11.0,12.25,10.75,11.0,11.6,8.0,13.25,12.0,14.0,13.666666666666666,13.0,8.25,coruna
Acyr,2000408996.0,8.0,13.833333333333334,11.0,12.0,15.25,13.333333333333334,12.625,17.0,12.0,13.5,14.5,12.5,13.4,12.0,8.625,16.166666666666668,12.25,13.333333333333334,8.5,13.5,coruna
César Ramírez,2000194011.0,9.0,14.0,10.0,12.0,12.5,13.333333333333334,11.25,16.5,12.0,11.75,12.5,11.375,13.0,12.0,12.0,16.666666666666668,9.75,12.666666666666666,13.25,12.0,espanyol
Guillem Molina,67260507.0,13.0,10.333333333333334,14.0,10.75,9.5,11.166666666666666,6.625,12.0,10.75,6.5,10.5,11.25,10.5,12.166666666666666,14.5,12.0,8.25,8.166666666666666,12.0,9.75,espanyol
Lucas Forsberg,93141098.0,15.0,12.0,6.0,11.5,10.5,10.166666666666666,10.5,11.75,11.5,8.5,12.25,11.0,10.7,11.666666666666666,14.375,12.166666666666666,11.0,11.166666666666666,11.25,11.0,espanyol
Chumi,95036003.0,14.0,11.666666666666666,13.0,13.0,11.5,11.333333333333334,9.75,12.0,13.0,8.25,12.5,13.375,11.2,13.0,11.75,12.333333333333334,8.25,11.333333333333334,12.75,12.5,espanyol
Isak Amundsen,53178292.0,14.0,12.333333333333334,13.0,12.0,11.5,11.833333333333334,10.875,13.0,12.0,10.0,12.75,13.5,11.5,12.666666666666666,13.5,13.666666666666666,8.5,11.333333333333334,15.5,12.0,espanyol
Ismael Casas,67271373.0,7.0,11.333333333333334,10.0,13.0,11.75,12.0,13.125,13.5,13.0,11.75,13.75,14.0,11.6,13.0,14.5,13.0,12.0,13.0,11.0,12.5,granada
Lovre Vujčić,2000188309.0,16.0,10.666666666666666,12.0,10.5,10.0,10.333333333333334,9.0,11.5,10.5,9.5,10.5,13.75,10.4,11.333333333333334,13.75,11.333333333333334,7.5,10.333333333333334,13.0,12.5,granada
Cristian Manea,57120897.0,12.0,11.5,11.0,12.75,11.0,10.333333333333334,12.75,11.75,12.75,9.0,12.75,13.5,10.8,12.833333333333334,14.0,11.666666666666666,11.0,12.333333333333334,13.5,13.25,granada
Jose Alcaide,2000437774.0,11.0,14.666666666666666,10.0,12.75,9.75,11.833333333333334,9.375,14.25,12.75,9.5,13.0,15.125,12.9,12.833333333333334,13.25,14.5,10.75,10.166666666666666,12.0,11.75,laspalmas
Eugene Kulakov,2000434056.0,17.0,12.0,10.0,12.0,11.5,10.0,10.0,11.5,12.0,8.5,13.0,11.0,10.4,12.333333333333334,13.0,12.333333333333334,11.0,11.333333333333334,14.0,14.5,laspalmas
Clement Nwabueze,2000710897.0,9.0,12.666666666666666,16.0,13.0,11.5,10.333333333333334,11.75,16.0,13.0,11.5,12.5,11.75,11.8,13.333333333333334,14.25,14.0,11.0,12.333333333333334,13.5,12.5,laspalmas
Nikola Katic,24047814.0,17.0,9.5,17.0,11.5,10.25,10.666666666666666,8.375,10.0,11.5,11.0,12.5,14.0,9.4,11.666666666666666,10.875,11.166666666666666,10.25,10.333333333333334,11.0,12.5,laspalmas
Víctor Gómez,67257950.0,6.0,12.333333333333334,6.0,11.5,10.0,12.0,11.375,13.0,11.5,11.25,12.0,9.75,12.2,11.666666666666666,13.625,12.666666666666666,12.75,11.333333333333334,11.0,11.5,leganes
Rasmus Lauritsen,27069979.0,16.0,14.0,14.0,12.25,9.0,10.833333333333334,9.625,14.25,12.25,6.5,13.0,13.875,11.9,12.833333333333334,13.0,14.5,10.25,10.166666666666666,12.75,11.25,leganes
Ryan Johansson,90086790.0,11.0,13.333333333333334,8.0,12.75,12.25,12.0,12.25,12.5,12.75,11.75,12.75,12.0,12.4,12.5,12.25,13.0,11.75,13.0,13.0,12.75,leganes
Patric,67100019.0,10.0,16.5,13.0,13.25,13.0,14.0,11.5,13.75,13.25,10.5,13.25,16.75,14.6,13.5,8.5,15.333333333333334,14.0,12.5,10.75,14.25,leganes
Sergi Rosanas,67265793.0,6.0,12.0,9.0,12.5,11.5,11.833333333333334,11.75,12.25,12.5,11.0,11.75,13.25,11.7,11.666666666666666,14.125,12.5,11.0,11.5,11.75,12.5,leganes
Eduardo Sarriegi,2000438820.0,4.0,15.333333333333334,10.0,16.5,9.0,11.5,12.375,16.25,16.5,10.0,14.25,13.125,13.1,15.333333333333334,12.5,15.833333333333334,11.5,12.333333333333334,12.25,13.5,realhisp
Omar Rekik,91187786.0,11.0,12.333333333333334,13.0,14.5,13.0,11.333333333333334,12.75,12.5,14.5,10.5,15.0,11.0,11.6,13.0,13.5,12.666666666666666,12.0,14.0,10.5,14.0,realhisp
Mujaid Sadick,67249928.0,10.0,14.166666666666666,13.0,14.75,10.5,11.666666666666666,9.25,13.25,14.75,8.5,13.75,12.25,12.4,14.833333333333334,12.5,14.0,12.0,10.5,13.75,14.25,realhisp
Friday Opara,2000442249.0,8.0,11.5,10.0,11.5,11.75,14.333333333333334,10.375,12.0,11.5,11.0,11.0,13.0,12.4,11.666666666666666,13.125,13.166666666666666,8.25,11.666666666666666,12.0,9.5,realhisp
Joselito,2000510697.0,15.0,12.166666666666666,8.0,10.75,7.5,11.333333333333334,9.5,15.25,10.75,6.5,11.25,12.25,11.6,11.166666666666666,12.5,14.333333333333334,7.5,8.333333333333334,12.5,10.75,realhisp
Pedro Porro,67268221.0,7.0,13.666666666666666,10.0,12.0,16.0,15.666666666666666,13.75,13.5,12.0,15.5,12.0,13.5,14.6,11.333333333333334,16.0,14.0,15.0,13.666666666666666,14.0,12.5,rmdrd
Takehiro Tomiyasu,45095490.0,14.0,14.333333333333334,13.0,13.5,13.5,14.333333333333334,12.5,14.0,13.5,12.5,14.0,14.25,14.2,13.666666666666666,15.25,14.333333333333334,12.5,13.333333333333334,14.0,14.0,rmdrd
Fabrice Mbassi,2000191910.0,5.0,14.833333333333334,9.0,13.5,15.0,15.666666666666666,13.0,14.5,13.5,14.0,13.0,12.25,14.9,13.333333333333334,15.25,15.333333333333334,10.5,14.333333333333334,16.0,13.5,rmdrd
Zinho Vanheusden,18091405.0,16.0,13.333333333333334,14.0,15.5,11.5,13.666666666666666,12.5,13.0,15.5,10.5,15.0,13.0,13.6,16.0,13.25,13.0,12.0,13.666666666666666,13.5,13.0,rmdrd
Éder Militão,19273276.0,15.0,14.0,13.0,14.0,13.0,14.333333333333334,12.5,13.5,14.0,12.0,14.5,14.5,13.6,14.666666666666666,15.5,14.666666666666666,13.0,13.333333333333334,15.0,14.0,rmdrd
Abderrahmane Sefrioui,2000433189.0,12.0,13.333333333333334,9.0,12.5,15.5,10.333333333333334,11.0,15.0,12.5,12.0,12.5,14.75,11.8,13.0,16.75,14.0,12.5,12.333333333333334,17.0,13.0,rmdrd
Isaac Guerra,2000439269.0,12.0,13.5,9.0,13.75,15.0,13.333333333333334,13.375,14.5,13.75,13.25,13.5,12.125,13.2,13.833333333333334,13.5,14.5,11.0,14.833333333333334,13.75,14.25,rmdrd
William Saliba,49039004.0,16.0,13.666666666666666,15.0,14.0,12.5,12.333333333333334,12.25,14.0,14.0,11.0,14.5,13.5,12.8,14.0,15.25,14.0,12.0,13.0,16.0,13.5,rsana
Lukas Mohr,2000432897.0,15.0,12.0,11.0,12.5,11.5,13.0,10.5,14.5,12.5,12.5,13.0,10.0,12.2,12.666666666666666,14.25,14.333333333333334,10.0,11.666666666666666,13.0,13.0,rsana
Piotr Jabłoński,2000623979.0,3.0,12.666666666666666,9.0,12.0,12.0,10.666666666666666,11.5,15.0,12.0,12.0,12.5,12.75,11.4,12.333333333333334,15.0,14.333333333333334,11.0,12.0,11.5,11.5,rsana
John Damiano,2000435431.0,6.0,13.666666666666666,7.0,14.0,12.0,11.666666666666666,11.5,16.5,14.0,10.0,14.5,14.5,12.4,13.666666666666666,13.25,15.666666666666666,9.5,12.666666666666666,12.0,12.0,rsana
Brandon Williams,28115834.0,12.0,10.666666666666666,9.0,12.0,12.5,12.333333333333334,12.5,12.5,12.0,13.0,12.5,16.0,11.2,12.0,14.75,12.666666666666666,13.0,12.666666666666666,13.0,12.5,rsana
Kai Ocaña,2000194470.0,13.0,11.0,8.0,11.5,14.5,9.0,13.25,12.0,11.5,14.5,11.5,16.25,10.2,10.333333333333334,16.5,11.0,12.0,13.333333333333334,13.5,9.0,rsana
José María Noguera,2000438352.0,14.0,12.333333333333334,13.0,14.0,15.0,13.666666666666666,12.5,14.0,14.0,12.0,13.0,15.0,12.8,13.666666666666666,15.0,14.0,9.5,14.0,15.0,13.0,sevilla
0,29126231.0,5.0,12.166666666666666,9.0,11.75,13.25,12.666666666666666,12.375,13.0,11.75,12.25,12.5,13.625,12.4,11.833333333333334,13.5,12.833333333333334,11.5,12.166666666666666,11.5,11.75,sevilla
Jordan Henderson,28005568.0,12.0,15.0,9.0,15.5,14.5,13.666666666666666,14.5,16.0,15.5,10.5,16.0,16.75,14.2,15.0,7.5,15.666666666666666,14.5,14.666666666666666,11.5,15.0,sevilla
0,28100123.0,13.0,10.833333333333334,9.0,11.5,12.0,12.333333333333334,11.75,14.0,11.5,11.5,13.0,15.75,11.5,11.666666666666666,15.5,13.333333333333334,11.0,11.666666666666666,13.5,16.0,vale
Ivo Gujinović,2000565341.0,8.0,14.666666666666666,13.0,13.25,10.5,15.0,9.625,17.75,13.25,11.0,13.0,13.5,14.4,13.166666666666666,15.875,17.5,10.75,10.5,14.5,12.75,vale
Sheldon Peltier,2000187635.0,15.0,13.333333333333334,11.0,12.25,14.75,11.833333333333334,12.375,13.75,12.25,13.5,12.5,13.375,12.5,11.5,15.25,13.5,12.75,13.166666666666666,14.5,10.75,vale
Cristhian Mosquera,2000030816.0,13.0,11.166666666666666,14.0,12.25,8.25,11.333333333333334,9.125,13.0,12.25,8.25,14.5,10.125,11.2,12.5,13.25,12.5,9.0,10.5,13.5,11.75,vale
Luís Pereira,2000188430.0,8.0,13.5,9.0,12.5,11.75,14.333333333333334,11.875,13.0,12.5,11.25,13.5,14.0,13.2,13.333333333333334,14.25,14.5,10.5,12.166666666666666,14.5,13.75,vale
Josema,2000439264.0,15.0,12.666666666666666,8.0,11.5,9.0,10.333333333333334,9.0,15.5,11.5,7.5,12.0,13.5,11.2,12.0,13.75,14.666666666666666,9.5,9.666666666666666,14.0,12.5,vale
Nikola Colic,2000212623.0,12.0,11.833333333333334,10.0,12.75,12.25,12.0,10.625,14.0,12.75,10.25,13.0,13.125,11.4,13.5,13.5,14.166666666666666,9.0,11.5,13.5,12.25,vallecano
Ramón Santos,2000440896.0,14.0,13.666666666666666,11.0,10.75,9.25,11.833333333333334,8.125,14.75,10.75,9.5,11.0,11.375,12.7,11.166666666666666,15.0,14.166666666666666,9.25,8.833333333333334,12.5,11.25,vallecano
Silvan Hefti,98038279.0,12.0,12.5,10.0,13.75,11.5,10.0,12.5,12.75,13.75,8.5,13.75,13.75,11.0,13.5,12.5,12.666666666666666,11.0,12.666666666666666,13.5,14.25,vallecano
Carlos Abraham,2000440884.0,10.0,13.166666666666666,8.0,11.5,10.25,13.0,8.875,16.0,11.5,9.5,11.0,12.0,12.6,11.666666666666666,12.125,15.833333333333334,9.75,10.0,10.5,10.5,vallecano
Mama Baldé,55070279.0,9.0,12.666666666666666,8.0,8.0,11.5,11.833333333333334,9.875,10.75,8.0,11.5,8.5,12.0,12.1,8.166666666666666,13.125,11.5,11.75,10.166666666666666,10.75,9.0,vallecano
Andrejs Ciganiks,37075484.0,9.0,11.333333333333334,10.0,11.5,12.0,11.333333333333334,11.75,11.25,11.5,11.0,12.0,11.0,11.4,11.333333333333334,13.0,11.166666666666666,10.5,11.666666666666666,12.5,12.0,vigo
Pedro Esperancinha,2000437963.0,11.0,13.333333333333334,10.0,11.25,8.25,12.833333333333334,7.875,15.75,11.25,8.5,10.5,11.875,12.7,11.5,14.0,15.5,7.25,8.833333333333334,14.0,9.75,vigo
Odilon Kossounou,93127195.0,17.0,13.166666666666666,13.0,14.75,10.75,12.333333333333334,10.375,12.25,14.75,7.5,15.25,11.0,12.2,14.166666666666666,14.0,13.333333333333334,14.0,11.666666666666666,13.0,14.75,villareal
Didier,2000509916.0,10.0,12.666666666666666,15.0,12.0,14.0,13.333333333333334,13.75,13.5,12.0,10.5,13.5,14.0,12.4,12.666666666666666,15.5,14.333333333333334,13.0,14.333333333333334,15.0,14.5,villareal
Dmytro Smalyukh,2000461897.0,10.0,12.333333333333334,13.0,14.0,12.5,12.666666666666666,12.25,14.5,14.0,12.0,14.5,11.0,12.2,14.666666666666666,14.0,14.333333333333334,10.5,13.666666666666666,13.0,14.0,villareal
Wanderson Bastos,2000410491.0,14.0,11.666666666666666,10.0,11.0,12.5,11.0,10.75,13.0,11.0,11.25,11.5,13.125,10.8,11.333333333333334,14.0,13.333333333333334,8.25,11.0,11.75,10.0,villareal
Alejandro Francés,67281886.0,12.0,12.5,13.0,13.75,12.0,13.666666666666666,11.875,13.5,13.75,11.25,14.5,13.375,12.8,13.5,14.25,13.833333333333334,11.5,12.5,13.75,13.75,zaragoza
Óscar Gil,67227188.0,9.0,11.666666666666666,8.0,12.0,9.5,12.166666666666666,10.75,13.75,12.0,7.5,11.25,13.0,12.1,12.666666666666666,14.375,12.833333333333334,11.5,10.5,12.75,12.0,zaragoza
Marvin,67277459.0,7.0,10.166666666666666,5.0,8.5,12.0,11.666666666666666,11.375,9.0,8.5,13.25,10.5,9.75,11.0,6.833333333333333,14.0,9.5,9.5,11.5,10.25,8.25,zaragoza
Francisco Jesús,2000511084.0,13.0,11.333333333333334,9.0,12.5,13.0,11.833333333333334,11.5,12.75,12.5,11.5,12.75,10.25,11.3,12.0,13.125,12.833333333333334,10.0,12.5,14.75,13.0,zaragoza
